iter	Passed	Remaining
601	1317	871
602	1319	868
603	1320	865
604	1322	863
605	1324	861
606	1325	858
607	1327	855
608	1328	853
609	1329	850
610	1331	847
611	1333	845
612	1335	843
613	1338	841
614	1339	838
615	1341	836
616	1342	833
617	1344	831
618	1346	828
619	1347	825
620	1348	823
621	1350	820
622	1352	818
623	1354	816
624	1355	813
625	1357	810
626	1358	808
627	1360	805
628	1362	803
629	1363	801
630	1365	798
631	1367	796
632	1369	793
633	1370	791
634	1371	788
635	1373	785
636	1374	783
637	1375	780
638	1377	778
639	1378	775
640	1380	773
641	1382	770
642	1383	768
643	1385	765
644	1386	763
645	1388	760
646	1389	758
647	1391	755
648	1392	753
649	1393	750
650	1395	748
651	1397	746
652	1399	743
653	1400	741
654	1402	738
655	1403	736
656	1405	733
657	1406	731
658	1408	728
659	1409	726
660	1411	723
661	1413	721
662	1414	719
663	1416	716
664	1417	714
665	1419	711
666	1420	709
667	1422	706
668	1423	704
669	1425	701
670	1427	699
671	1428	697
672	1430	694
673	1431	692
674	1433	690
675	1434	687
676	1436	685
677	1437	682
678	1439	680
679	1441	678
680	1442	675
681	1444	673
682	1445	670
683	1446	668
684	1448	665
685	1449	663
686	1451	661
687	1452	658
688	1453	656
689	1455	653
690	1457	651
691	1459	649
692	1460	646
693	1461	644
694	1463	642
695	1464	639
696	1466	637
697	1467	635
698	1468	632
699	1470	630
700	1472	628
701	1474	625
702	1475	623
703	1477	621
704	1478	618
705	1480	616
706	1481	613
707	1482	611
708	1484	609
709	1486	606
710	1487	604
711	1489	602
712	1490	599
713	1492	597
714	1494	595
715	1496	593
716	1498	591
717	1500	589
718	1503	587
719	1505	585
720	1507	583
721	1509	581
722	1512	579
723	1514	577
724	1516	575
725	1518	572
726	1519	570
727	1521	568
728	1523	566
729	1524	564
730	1526	561
731	1528	559
732	1529	557
733	1531	555
734	1533	552
735	1534	550
736	1536	548
737	1537	545
738	1539	543
739	1542	541
740	1543	539
741	1545	537
742	1547	535
743	1549	533
744	1553	531
745	1554	529
746	1556	527
747	1558	525
748	1560	522
749	1562	520
750	1564	518
751	1566	516
752	1568	514
753	1569	512
754	1571	509
755	1573	507
756	1575	505
757	1577	503
758	1579	501
759	1580	499
760	1582	496
761	1584	494
762	1585	492
763	1587	490
764	1589	488
765	1592	486
766	1593	484
767	1595	481
768	1597	479
769	1598	477
770	1600	475
771	1601	473
772	1604	471
773	1605	468
774	1608	466
775	1610	464
776	1611	462
777	1613	460
778	1615	458
779	1617	456
780	1618	453
781	1621	451
782	1623	450
783	1625	447
784	1627	445
785	1629	443
786	1630	441
787	1632	439
788	1634	437
789	1636	434
790	1638	432
791	1640	430
792	1641	428
793	1643	426
794	1645	424
795	1647	422
796	1648	419
797	1650	417
798	1654	416
799	1655	413
800	1657	411
801	1659	409
802	1661	407
803	1663	405
804	1664	403
805	1668	401
806	1669	399
807	1672	397
808	1674	395
809	1676	393
810	1678	391
811	1679	388
812	1683	387
813	1685	385
814	1687	382
815	1689	380
816	1690	378
817	1693	376
818	1694	374
819	1696	372
820	1698	370
821	1699	368
822	1701	365
823	1703	363
824	1704	361
825	1706	359
826	1708	357
827	1709	355
828	1710	352
829	1713	350
830	1714	348
831	1716	346
832	1717	344
833	1718	342
834	1720	339
835	1721	337
836	1723	335
837	1724	333
838	1726	331
839	1728	329
840	1730	327
841	1731	324
842	1733	322
843	1734	320
844	1736	318
845	1737	316
846	1739	314
847	1740	311
848	1742	309
849	1743	307
850	1745	305
851	1746	303
852	1747	301
853	1749	299
854	1750	296
855	1752	294
856	1753	292
857	1755	290
858	1757	288
859	1759	286
860	1760	284
861	1761	282
862	1763	279
863	1764	277
864	1766	275
865	1767	273
866	1768	271
867	1770	269
868	1772	267
869	1775	265
870	1776	263
871	1778	261
872	1779	258
873	1781	256
874	1782	254
875	1783	252
876	1785	250
877	1786	248
878	1788	246
879	1790	244
880	1791	242
881	1793	239
882	1794	237
883	1796	235
884	1797	233
885	1798	231
886	1800	229
887	1801	227
888	1803	225
889	1805	223
890	1806	221
891	1808	218
892	1809	216
893	1810	214
894	1812	212
895	1813	210
896	1815	208
897	1816	206
898	1818	204
899	1820	202
900	1821	200
901	1823	198
902	1824	195
903	1826	193
904	1827	191
905	1828	189
906	1830	187
907	1831	185
908	1833	183
909	1835	181
910	1836	179
911	1837	177
912	1839	175
913	1840	173
914	1842	171
915	1843	169
916	1845	167
917	1846	164
918	1848	162
919	1849	160
920	1851	158
921	1852	156
922	1854	154
923	1855	152
924	1856	150
925	1858	148
926	1859	146
927	1861	144
928	1864	142
929	1865	140
930	1867	138
931	1868	136
932	1870	134
933	1871	132
934	1872	130
935	1874	128
936	1875	126
937	1877	124
938	1878	122
939	1880	120
940	1881	117
941	1883	115
942	1884	113
943	1886	111
944	1887	109
945	1889	107
946	1890	105
